sale_id,date,vehicle_type,state,industry,unit_price,units_sold,revenue
1,2022-01-01,Construction Equipment,WA,Mining,437580.0,2,875160
2,2022-01-02,Bus,WA,Agriculture,317208.0,1,317208
3,2022-01-03,Light Commercial,WA,Mining,136403.0,1,136403
4,2022-01-04,Bus,WA,Mining,181170.0,1,181170
5,2022-01-05,Bus,SA,Logistics,361312.0,1,361312
6,2022-01-06,Medium Duty Truck,SA,Government,402023.0,5,2010115
7,2022-01-07,Light Commercial,NSW,Government,149871.0,2,299742
8,2022-01-08,Light Commercial,QLD,Mining,122174.0,2,244348
9,2022-01-09,Light Commercial,WA,Construction,320823.0,1,320823
10,2022-01-10,Bus,NSW,Agriculture,313563.0,1,313563
11,2022-01-11,Construction Equipment,QLD,Construction,227653.0,2,455306
12,2022-01-13,Light Commercial,NT,Construction,200155.0,5,1000775
13,2022-01-14,Bus,VIC,Mining,423997.0,3,1271991
14,2022-01-15,Medium Duty Truck,SA,Mining,416190.0,3,1248570
15,2022-01-16,Construction Equipment,NT,Mining,401822.0,2,803644
16,2022-01-17,Medium Duty Truck,QLD,Mining,378793.0,1,378793
17,2022-01-18,Construction Equipment,NT,Government,217795.0,1,217795
18,2022-01-19,Bus,VIC,Mining,178668.0,5,893340
19,2022-01-20,Heavy Duty Truck,QLD,Government,303397.0,3,910191
20,2022-01-21,Construction Equipment,NT,Government,235639.0,5,1178195
21,2022-01-22,Medium Duty Truck,SA,Mining,442050.0,3,1326150
22,2022-01-24,Bus,SA,Logistics,329141.0,2,658282
23,2022-01-25,Construction Equipment,NSW,Agriculture,186019.0,3,558057
24,2022-01-26,Heavy Duty Truck,NT,Construction,430146.0,5,2150730
25,2022-01-27,Heavy Duty Truck,WA,Government,118803.0,5,594015
26,2022-01-28,Light Commercial,NT,Agriculture,239302.0,5,1196510
27,2022-01-29,Light Commercial,QLD,,238934.0,2,477868
28,2022-01-30,Medium Duty Truck,QLD,Construction,320147.0,3,960441
29,2022-01-31,Construction Equipment,NT,Construction,120795.0,3,362385
30,2022-02-01,Construction Equipment,VIC,Government,360914.0,5,1804570
31,2022-02-02,Light Commercial,SA,Mining,101093.0,3,303279
32,2022-02-03,Construction Equipment,QLD,Logistics,483409.0,1,483409
33,2022-02-05,Construction Equipment,SA,Government,452455.0,1,452455
34,2022-02-06,Heavy Duty Truck,QLD,Logistics,369713.0,1,369713
35,2022-02-07,Light Commercial,NSW,Mining,363334.0,3,1090002
36,2022-02-08,Bus,WA,Mining,414968.0,2,829936
37,2022-02-09,Light Commercial,QLD,Government,263824.0,2,527648
38,2022-02-10,Bus,SA,Mining,253399.0,2,506798
39,2022-02-11,Heavy Duty Truck,NSW,Agriculture,394214.0,2,788428
40,2022-02-12,Medium Duty Truck,QLD,Construction,130197.0,1,130197
41,2022-02-13,Construction Equipment,VIC,Government,92261.0,1,92261
42,2022-02-14,Heavy Duty Truck,WA,Logistics,247584.0,5,1237920
43,2022-02-16,Construction Equipment,QLD,Agriculture,489932.0,3,1469796
44,2022-02-17,Medium Duty Truck,NSW,Government,438939.0,3,1316817
